Name,cls
CN1CCN(CC1)CCCNC2=NC3=NC(=C(C=C3C=N2)C4=C(C=CC=C4Cl)Cl)NC(=O)NCCN(C)C,1
CC(C)(C)NC(=O)NC1=C(C=C2C=NC(=NC2=N1)NCCCN(C)C)C3=C(C=CC=C3Cl)Cl,1
CN(CCCNC(=O)C1=C2C(=CC=C1)N=C3C=CC(=CC3=N2)OC)CCCNC(=O)C4=C5C(=CC=C4)N=C6C=CC(=CC6=N5)OC,1
CCCCC/C(=N\S(=O)(=O)CC1=CC=CC=C1)/NC2=CC(=C(C=C2)OC3=NC=NC4=CC(=C(C=C43)OC)OC)F,1
CN1CCN(CC1)CCCNC2=NC3=NC(=C(C=C3C=N2)C4=C(C=CC=C4Cl)Cl)NC(=O)NC5=CC=C(C=C5)OC,1
C1CC1NC(=O)C2=CC=CC3=C4C=NC=CC4=C(N=C32)NC5=CC(=CC=C5)Cl,1
CCOC1=C(C=CC(=C1)C(=C(F)F)C2=CC(=C(C=C2)OC)O)OC,1
CC1=C(C(=O)C2=C(N1C)C=CC(=C2)OC(F)(F)F)C(=O)NC3=CC(=C(C=C3)OC4=NC=NC5=C4C(=CN5)C6=CC=CC=C6)F,1
C1=CC=C2C(=C1)N=C(S2)C3=CC=C(C=C3)NC(=O)CNC4=CC=C(C=C4)S(=O)(=O)N,1
CC(C1=CC=C(C=C1)N2C=NNC2=O)C(=O)NC3=NNC(=C3)C4CC4,1
CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=C4C(=C(C=C3)OCCN(C)C)NN=C4N,1
C1=CC(=CC=C1C2=C(C=C(N2)C3=CC=NC=C3)C(=O)N)Br,1
CN1CCCN(CC1)C2=CC(=C(C=C2)NC3=NC=C4CN(C(=O)N(C4=N3)C5=CC=CC(=C5)NC(=O)C=C)C)OC,1
CCOCCOC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)C(=C)F,1
CN1C=C(N=C1)S(=O)(=O)N(CCN(CC2=CN=CN2C)C3=CC=C(C=C3)C#N)CC4=CC=NC=C4,1
CCC1=CC2=C(C=C1)N(C(=C(C2=O)C(=O)NC3=CC(=C(C=C3)OC4=C(C(=NC=C4)N)Cl)F)C)C,1
CC(C)(C)NC(=O)NC1=C(C=C2C=NC(=NC2=N1)NCCCN3CCOCC3)C4=C(C=CC=C4Cl)Cl,1
COC1=CC=CC=C1C2=CSC3=CN=C(N=C32)NC4=CC(=C(C=C4)C(=O)N[C@@H]5CCNC5)F,1
